ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;4,565;0,374;8,102;2,095;4,391;0,486;0,309;1,111;0,124;0,015;4,079
2500;1000;4,602;2,141;8,166;2,065;4,265;0,482;0,314;1,038;0,121;0,015;4,120
5000;1000;4,756;2,255;8,382;2,071;4,290;0,480;0,298;1,182;0,122;0,015;4,276
7500;1000;4,389;2,268;8,535;2,120;4,493;0,471;0,311;2,544;0,132;0,018;3,917
10000;1000;4,397;2,242;8,291;2,116;4,477;0,487;0,294;3,682;0,170;0,029;3,911
25000;1000;4,407;2,254;8,344;2,116;4,477;0,511;0,324;3,502;0,179;0,032;3,895
50000;1000;4,408;2,335;8,232;2,100;4,409;0,597;0,372;3,074;0,171;0,029;3,810
75000;1000;4,482;2,385;8,373;2,117;4,480;0,622;0,366;1,188;0,156;0,024;3,860
100000;1000;4,058;2,254;8,386;2,060;4,244;0,635;0,403;2,316;0,158;0,025;3,424
250000;1000;3,826;2,570;8,758;1,950;3,803;0,794;0,546;2,060;0,172;0,030;3,032
500000;1000;3,750;2,897;9,411;1,699;2,885;0,962;0,776;2,007;0,258;0,066;2,788
750000;1000;3,642;1,160;10,044;1,780;3,170;1,196;0,723;2,438;0,339;0,115;2,445
1000000;1000;3,189;1,281;10,685;2,364;5,590;1,376;0,847;3,451;0,534;0,286;1,813
2500000;1000;3,837;2,535;8,538;1,423;2,025;2,141;1,514;4,220;0,528;0,279;1,696
5000000;1000;4,705;4,191;27,060;1,160;1,345;3,013;2,677;16,496;0,614;0,377;1,692
7500000;1000;6,450;6,201;23,521;0,562;0,316;4,110;3,873;14,265;0,353;0,125;2,340
10000000;1000;8,446;8,240;26,858;0,594;0,353;5,326;5,065;15,185;0,366;0,134;3,120
