ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;4,625;0,279;8,372;2,070;4,284;0,507;0,320;0,954;0,126;0,016;4,118
2500;1000;4,597;2,221;8,129;2,060;4,243;0,504;0,312;1,268;0,135;0,018;4,092
5000;1000;4,398;2,241;8,330;2,122;4,505;0,493;0,305;2,695;0,148;0,022;3,905
7500;1000;4,522;2,267;8,122;2,122;4,501;0,496;0,309;2,796;0,151;0,023;4,026
10000;1000;4,599;2,152;8,042;2,094;4,383;0,514;0,309;1,148;0,148;0,022;4,085
25000;1000;4,436;2,172;8,056;2,100;4,410;0,541;0,316;2,399;0,178;0,032;3,895
50000;1000;4,409;2,229;8,134;2,067;4,272;0,596;0,350;1,241;0,161;0,026;3,813
75000;1000;4,131;2,247;8,174;2,058;4,235;0,605;0,364;2,863;0,168;0,028;3,527
100000;1000;4,099;2,227;8,366;2,087;4,356;0,638;0,392;1,247;0,151;0,023;3,462
250000;1000;3,698;2,469;8,624;1,844;3,402;0,795;0,570;1,610;0,192;0,037;2,903
500000;1000;3,364;0,863;9,275;2,096;4,394;0,982;0,584;2,169;0,299;0,089;2,382
750000;1000;3,709;1,041;9,391;1,940;3,763;1,230;0,736;2,535;0,375;0,141;2,479
1000000;1000;3,067;1,169;10,406;2,264;5,124;1,359;0,757;3,294;0,559;0,312;1,708
2500000;1000;3,773;2,132;17,283;2,027;4,110;2,103;1,398;10,189;0,769;0,591;1,670
5000000;1000;4,551;3,944;19,803;1,183;1,400;2,909;2,492;13,305;0,672;0,451;1,642
7500000;1000;6,046;5,734;24,775;0,606;0,367;3,885;3,569;15,641;0,484;0,234;2,160
10000000;1000;8,048;7,564;29,474;0,775;0,600;4,827;4,598;18,238;0,469;0,220;3,222
