ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;15,318;1,606;16,488;0,630;0,397;2,173;1,585;11,242;0,558;0,312;13,145
2500;1000;15,362;14,395;16,351;0,366;0,134;2,139;1,570;4,003;0,339;0,115;13,223
5000;1000;15,380;14,363;16,348;0,365;0,133;2,202;1,083;3,910;0,322;0,104;13,178
7500;1000;15,382;13,769;16,490;0,356;0,126;2,098;1,426;3,933;0,308;0,095;13,284
10000;1000;15,352;14,314;16,386;0,351;0,123;2,047;1,375;3,520;0,318;0,101;13,306
25000;1000;15,351;14,403;16,450;0,364;0,133;2,023;1,041;4,034;0,325;0,105;13,328
50000;1000;15,363;14,301;16,303;0,378;0,143;2,128;1,655;4,250;0,332;0,110;13,235
75000;1000;15,348;14,131;16,659;0,398;0,158;2,192;1,752;4,368;0,362;0,131;13,156
100000;1000;15,264;13,693;16,554;0,409;0,167;2,366;1,553;4,491;0,479;0,229;12,898
250000;1000;15,220;13,417;17,669;0,414;0,172;2,892;1,837;5,945;0,806;0,649;12,328
500000;1000;15,557;11,496;33,155;2,280;5,198;4,307;3,757;9,591;0,475;0,226;11,250
750000;1000;18,154;11,120;35,275;6,309;39,798;4,672;3,035;11,029;1,230;1,513;13,482
1000000;1000;28,484;13,962;49,645;6,874;47,256;6,290;3,675;13,655;2,207;4,871;22,194
2500000;1000;53,160;42,543;83,160;6,865;47,122;14,799;13,509;28,254;2,820;7,953;38,361
5000000;1000;98,920;67,646;152,980;13,681;187,170;25,448;13,562;52,130;9,079;82,434;73,473
7500000;1000;125,890;101,207;215,194;16,694;278,691;30,055;19,750;78,119;10,194;103,909;95,835
10000000;1000;167,833;134,895;261,612;19,385;375,785;41,253;26,032;98,953;12,166;148,022;126,580
