ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;10000;4,443;0,415;9,321;2,145;4,602;0,492;0,307;1,396;0,130;0,017;3,951
2500;10000;3,808;0,111;26,749;2,418;5,849;0,526;0,279;3,382;0,251;0,063;3,282
5000;10000;4,042;0,110;18,038;2,338;5,467;0,506;0,305;3,642;0,206;0,042;3,536
7500;10000;1,810;0,114;10,276;1,748;3,055;0,652;0,327;4,751;0,332;0,110;1,159
10000;10000;1,838;0,113;18,731;1,769;3,130;0,616;0,309;5,815;0,246;0,061;1,222
25000;10000;1,817;0,124;7,915;1,767;3,121;0,619;0,328;3,088;0,203;0,041;1,198
50000;10000;1,816;0,144;9,830;1,785;3,187;0,645;0,345;3,263;0,229;0,052;1,171
75000;10000;3,667;0,175;34,405;3,291;10,833;0,665;0,367;5,760;0,383;0,147;3,002
100000;10000;4,469;0,218;38,994;3,374;11,385;0,636;0,381;3,522;0,203;0,041;3,833
250000;10000;3,101;0,340;21,052;2,465;6,075;0,793;0,502;3,552;0,203;0,041;2,308
500000;10000;2,759;0,521;25,081;2,737;7,489;0,991;0,590;11,045;0,298;0,089;1,768
750000;10000;3,937;0,742;119,385;3,300;10,890;1,193;0,681;4,685;0,364;0,133;2,744
1000000;10000;3,313;1,287;9,673;2,160;4,664;1,395;0,769;3,070;0,523;0,273;1,918
2500000;10000;3,816;2,198;197,247;2,463;6,068;2,109;1,480;14,060;0,552;0,305;1,706
5000000;10000;4,848;4,181;37,802;1,016;1,033;2,925;2,631;10,062;0,404;0,164;1,924
7500000;10000;6,549;6,152;39,547;1,135;1,288;4,041;3,815;12,853;0,211;0,044;2,508
10000000;10000;9,000;8,095;41,094;1,591;2,532;5,261;4,980;15,097;0,395;0,156;3,739
