ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;4,675;0,265;8,030;2,104;4,428;0,700;0,336;1,446;0,182;0,033;3,975
2500;1000;4,484;2,192;8,075;2,129;4,532;0,704;0,341;1,358;0,162;0,026;3,780
5000;1000;3,905;0,170;21,034;2,416;5,835;0,776;0,331;5,684;0,454;0,206;3,129
7500;1000;4,402;2,213;9,289;2,214;4,900;0,716;0,385;1,604;0,149;0,022;3,686
10000;1000;4,452;2,186;8,368;2,135;4,558;0,727;0,364;1,301;0,140;0,020;3,725
25000;1000;4,321;2,273;8,400;2,132;4,545;0,713;0,368;2,864;0,146;0,021;3,608
50000;1000;4,060;0,203;44,441;3,501;12,260;0,750;0,419;4,414;0,338;0,114;3,310
75000;1000;3,327;0,184;23,497;2,755;7,591;0,721;0,390;2,840;0,241;0,058;2,606
100000;1000;4,242;2,240;14,758;1,881;3,540;0,723;0,436;2,104;0,261;0,068;3,519
250000;1000;3,906;0,492;27,170;3,211;10,312;1,006;0,568;3,301;0,459;0,211;2,899
500000;1000;4,711;0,763;25,825;3,317;11,004;0,954;0,667;5,290;0,272;0,074;3,757
750000;1000;4,432;0,948;25,678;2,929;8,578;1,040;0,731;2,415;0,185;0,034;3,392
1000000;1000;5,052;1,311;25,556;2,768;7,662;1,250;0,873;2,824;0,224;0,050;3,802
2500000;1000;4,035;2,546;14,496;1,640;2,688;1,864;1,560;7,254;0,249;0,062;2,171
5000000;1000;5,299;4,263;24,556;1,096;1,202;3,008;2,734;15,567;0,451;0,203;2,292
7500000;1000;6,680;6,115;21,478;0,674;0,454;4,171;3,867;12,313;0,388;0,151;2,508
10000000;1000;8,971;7,867;27,141;0,871;0,759;5,526;5,006;16,668;0,535;0,286;3,445
