ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;15,137;3,230;20,244;0,752;0,565;2,753;1,118;20,106;1,264;1,598;12,384
2500;1000;15,206;11,834;19,009;0,450;0,202;2,920;1,133;6,754;1,078;1,162;12,286
5000;1000;15,242;10,470;19,728;0,594;0,353;2,997;1,236;7,346;0,912;0,832;12,245
7500;1000;15,225;11,798;18,933;0,501;0,251;2,823;1,202;9,974;1,037;1,074;12,402
10000;1000;15,230;11,415;18,701;0,661;0,437;2,881;1,142;7,667;1,006;1,012;12,349
25000;1000;15,193;12,350;17,405;0,429;0,184;2,889;1,527;5,497;0,716;0,512;12,305
50000;1000;15,281;10,742;16,621;0,424;0,180;2,886;1,481;5,820;0,683;0,466;12,394
75000;1000;15,175;12,615;17,790;0,432;0,186;2,930;1,640;9,073;0,939;0,882;12,245
100000;1000;15,307;13,347;16,941;0,421;0,177;2,708;1,968;5,318;0,713;0,509;12,599
250000;1000;15,198;12,499;18,313;0,673;0,453;2,729;2,153;4,869;0,561;0,315;12,469
500000;1000;15,152;11,303;19,750;1,115;1,242;3,146;2,566;5,026;0,625;0,390;12,005
750000;1000;15,189;10,678;32,020;1,958;3,835;3,714;3,200;7,999;0,657;0,432;11,475
1000000;1000;16,026;13,995;36,853;2,395;5,738;4,434;3,858;7,440;0,641;0,411;11,593
2500000;1000;42,042;34,191;56,344;4,563;20,821;10,867;8,085;15,443;2,704;7,312;31,176
5000000;1000;85,540;69,415;141,821;9,883;97,670;22,152;14,928;51,809;5,793;33,556;63,388
7500000;1000;122,436;103,121;197,066;13,477;181,618;29,496;21,413;75,133;8,155;66,503;92,941
10000000;1000;168,568;137,788;253,179;17,940;321,857;41,914;28,382;99,366;10,787;116,362;126,654
