ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;0,136;0,043;1,290;0,131;0,017;0,015;0,010;0,047;0,003;0,000;0,120
2500;1000;0,141;0,063;0,194;0,017;0,000;0,018;0,016;0,045;0,002;0,000;0,123
5000;1000;0,145;0,068;0,624;0,022;0,000;0,021;0,019;0,043;0,002;0,000;0,124
7500;1000;0,145;0,076;0,189;0,016;0,000;0,025;0,023;0,045;0,002;0,000;0,120
10000;1000;0,153;0,085;0,198;0,016;0,000;0,029;0,027;0,050;0,002;0,000;0,124
25000;1000;0,178;0,111;1,120;0,033;0,001;0,052;0,049;0,732;0,022;0,000;0,126
50000;1000;0,223;0,160;0,280;0,015;0,000;0,092;0,088;0,142;0,003;0,000;0,131
75000;1000;0,260;0,189;0,330;0,017;0,000;0,126;0,122;0,206;0,004;0,000;0,135
100000;1000;0,296;0,221;0,397;0,018;0,000;0,165;0,160;0,269;0,006;0,000;0,131
250000;1000;0,526;0,449;0,932;0,027;0,001;0,401;0,380;0,774;0,020;0,000;0,125
500000;1000;0,909;0,843;1,642;0,032;0,001;0,694;0,682;0,786;0,009;0,000;0,215
750000;1000;1,290;1,214;1,437;0,025;0,001;0,997;0,985;1,111;0,008;0,000;0,293
1000000;1000;1,672;1,578;4,108;0,097;0,009;1,295;1,287;2,174;0,029;0,001;0,377
2500000;1000;2,572;1,918;4,172;0,591;0,350;1,689;1,160;3,165;0,555;0,309;0,883
5000000;1000;4,185;3,795;5,256;0,438;0,192;2,538;2,300;4,418;0,352;0,124;1,648
7500000;1000;5,938;5,806;7,454;0,201;0,040;3,467;3,386;5,485;0,183;0,034;2,471
10000000;1000;7,827;7,688;8,377;0,056;0,003;4,575;4,492;7,097;0,116;0,013;3,251
25000000;1000;19,524;19,242;21,408;0,208;0,043;11,223;11,088;17,438;0,252;0,063;8,300
50000000;1000;38,909;38,432;53,680;0,645;0,416;22,276;22,070;35,855;0,490;0,240;16,633
