ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;0,020;0,012;0,142;0,009;0,000;0,019;0,012;0,084;0,010;0,000;0,000
2500;1000;0,018;0,012;0,052;0,004;0,000;0,020;0,014;0,071;0,010;0,000;-0,002
5000;1000;0,021;0,015;0,046;0,004;0,000;0,024;0,016;0,079;0,011;0,000;-0,003
7500;1000;0,023;0,014;0,054;0,003;0,000;0,027;0,018;0,082;0,012;0,000;-0,004
10000;1000;0,024;0,015;0,089;0,004;0,000;0,030;0,020;0,085;0,013;0,000;-0,006
25000;1000;0,029;0,022;0,060;0,004;0,000;0,047;0,034;0,108;0,014;0,000;-0,019
50000;1000;0,039;0,033;0,163;0,006;0,000;0,075;0,055;0,175;0,020;0,000;-0,036
75000;1000;0,049;0,036;0,157;0,011;0,000;0,107;0,078;0,267;0,031;0,001;-0,058
100000;1000;0,055;0,047;0,681;0,022;0,000;0,134;0,101;0,630;0,044;0,002;-0,079
250000;1000;0,105;0,090;0,175;0,010;0,000;0,384;0,238;1,071;0,181;0,033;-0,279
500000;1000;0,189;0,171;0,258;0,011;0,000;0,558;0,392;1,123;0,251;0,063;-0,369
750000;1000;0,287;0,235;0,403;0,018;0,000;0,819;0,537;1,740;0,418;0,175;-0,532
1000000;1000;0,394;0,354;0,496;0,018;0,000;1,094;0,684;2,609;0,599;0,358;-0,701
2500000;1000;1,027;0,934;1,225;0,024;0,001;1,941;1,593;3,943;0,650;0,423;-0,914
5000000;1000;1,978;1,867;2,706;0,046;0,002;3,020;2,301;6,884;0,903;0,815;-1,042
7500000;1000;3,050;2,857;3,630;0,052;0,003;3,778;3,391;5,400;0,541;0,292;-0,728
10000000;1000;4,005;3,775;5,451;0,089;0,008;4,704;4,500;7,125;0,445;0,198;-0,699
25000000;1000;10,514;9,827;12,383;0,176;0,031;11,253;11,053;17,763;0,552;0,305;-0,740
50000000;1000;20,871;19,998;29,288;0,516;0,266;22,328;21,974;34,883;0,601;0,362;-1,457
