ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;0,098;0,083;0,912;0,030;0,001;0,237;0,030;2,175;0,107;0,011;-0,139
2500;1000;0,100;0,088;0,330;0,014;0,000;0,250;0,031;3,052;0,117;0,014;-0,150
5000;1000;0,104;0,093;0,243;0,015;0,000;0,263;0,033;0,537;0,069;0,005;-0,159
7500;1000;0,111;0,097;0,241;0,011;0,000;0,241;0,039;1,615;0,080;0,006;-0,131
10000;1000;0,114;0,100;0,917;0,028;0,001;0,241;0,044;0,544;0,057;0,003;-0,127
25000;1000;0,154;0,134;0,291;0,013;0,000;0,243;0,045;2,080;0,085;0,007;-0,089
50000;1000;0,183;0,168;0,326;0,015;0,000;0,237;0,045;0,491;0,068;0,005;-0,054
75000;1000;0,235;0,217;1,024;0,029;0,001;0,250;0,049;0,469;0,065;0,004;-0,015
100000;1000;0,270;0,253;0,357;0,015;0,000;0,258;0,044;0,498;0,066;0,004;0,013
250000;1000;0,437;0,413;0,563;0,020;0,000;0,275;0,053;0,467;0,058;0,003;0,162
500000;1000;0,547;0,497;0,780;0,052;0,003;0,253;0,035;0,453;0,071;0,005;0,293
750000;1000;0,702;0,607;0,905;0,071;0,005;0,235;0,034;0,427;0,072;0,005;0,467
1000000;1000;0,839;0,820;1,370;0,029;0,001;0,063;0,034;0,117;0,010;0,000;0,775
2500000;1000;1,078;1,037;1,944;0,080;0,006;0,087;0,047;0,305;0,019;0,000;0,991
5000000;1000;1,645;1,629;2,205;0,048;0,002;0,106;0,099;0,145;0,004;0,000;1,539
7500000;1000;2,416;2,400;5,040;0,084;0,007;0,137;0,124;0,701;0,023;0,001;2,279
10000000;1000;3,213;3,191;3,341;0,012;0,000;0,155;0,145;0,322;0,007;0,000;3,058
25000000;1000;7,938;7,886;8,446;0,039;0,002;0,296;0,289;0,503;0,008;0,000;7,642
50000000;1000;15,902;15,879;16,037;0,019;0,000;0,533;0,525;1,033;0,017;0,000;15,369
