ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;0,083;0,071;0,192;0,013;0,000;0,190;0,026;0,548;0,120;0,014;-0,108
2500;1000;0,087;0,071;0,202;0,017;0,000;0,190;0,027;0,529;0,116;0,014;-0,103
5000;1000;0,086;0,071;0,881;0,028;0,001;0,192;0,027;1,308;0,124;0,015;-0,107
7500;1000;0,089;0,071;0,233;0,017;0,000;0,175;0,026;2,259;0,133;0,018;-0,086
10000;1000;0,086;0,071;0,181;0,014;0,000;0,181;0,026;0,550;0,116;0,013;-0,095
25000;1000;0,085;0,072;0,155;0,013;0,000;0,186;0,027;0,923;0,113;0,013;-0,101
50000;1000;0,095;0,081;0,179;0,014;0,000;0,244;0,029;1,145;0,089;0,008;-0,149
75000;1000;0,089;0,077;0,295;0,012;0,000;0,255;0,029;0,583;0,079;0,006;-0,167
100000;1000;0,099;0,083;0,270;0,019;0,000;0,257;0,035;1,295;0,080;0,006;-0,158
250000;1000;0,135;0,099;5,170;0,165;0,027;0,101;0,041;0,497;0,073;0,005;0,034
500000;1000;0,267;0,091;1,083;0,119;0,014;0,244;0,042;0,628;0,124;0,015;0,023
750000;1000;0,283;0,095;0,819;0,177;0,031;0,260;0,053;0,756;0,173;0,030;0,023
1000000;1000;0,325;0,088;1,703;0,176;0,031;0,301;0,077;1,009;0,167;0,028;0,024
2500000;1000;0,349;0,173;0,871;0,094;0,009;0,216;0,130;0,854;0,097;0,009;0,133
5000000;1000;0,646;0,633;0,849;0,011;0,000;0,362;0,357;0,400;0,004;0,000;0,284
7500000;1000;0,687;0,672;0,935;0,033;0,001;0,406;0,399;0,549;0,015;0,000;0,281
10000000;1000;0,661;0,641;1,055;0,047;0,002;0,466;0,459;0,598;0,014;0,000;0,194
25000000;1000;0,847;0,821;2,015;0,118;0,014;0,817;0,799;1,191;0,041;0,002;0,030
50000000;1000;1,603;1,583;5,495;0,130;0,017;1,569;1,540;2,983;0,064;0,004;0,034
