ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;0,233;0,053;2,476;0,587;0,345;0,398;0,025;2,432;0,683;0,466;-0,165
2500;1000;0,212;0,055;2,417;0,555;0,308;0,379;0,024;2,556;0,688;0,474;-0,167
5000;1000;0,237;0,058;2,418;0,590;0,348;0,472;0,026;2,446;0,646;0,417;-0,235
7500;1000;0,330;0,059;2,457;0,712;0,506;0,393;0,024;2,420;0,636;0,405;-0,062
10000;1000;0,265;0,060;2,435;0,624;0,389;0,421;0,024;2,446;0,622;0,386;-0,156
25000;1000;0,365;0,075;2,458;0,728;0,530;0,433;0,025;2,427;0,521;0,272;-0,068
50000;1000;0,451;0,099;2,445;0,783;0,613;0,423;0,026;2,399;0,457;0,209;0,028
75000;1000;0,385;0,120;2,460;0,631;0,398;0,444;0,027;2,255;0,436;0,190;-0,059
100000;1000;0,244;0,144;2,621;0,282;0,079;0,521;0,027;2,169;0,433;0,187;-0,277
250000;1000;0,724;0,230;3,083;0,469;0,220;0,209;0,033;2,250;0,187;0,035;0,515
500000;1000;0,551;0,347;2,234;0,228;0,052;0,222;0,041;0,994;0,098;0,010;0,329
750000;1000;0,732;0,472;2,382;0,195;0,038;0,194;0,051;0,498;0,103;0,011;0,538
1000000;1000;0,972;0,616;1,538;0,091;0,008;0,163;0,098;0,465;0,109;0,012;0,809
2500000;1000;1,470;1,325;3,761;0,309;0,095;0,176;0,132;0,635;0,028;0,001;1,294
5000000;1000;2,740;2,590;7,402;0,625;0,391;0,215;0,208;0,365;0,013;0,000;2,526
7500000;1000;4,046;3,827;10,990;0,928;0,861;0,291;0,282;0,769;0,016;0,000;3,755
10000000;1000;5,369;5,077;14,672;1,248;1,559;0,364;0,359;0,544;0,008;0,000;5,004
25000000;1000;13,310;12,578;37,857;3,125;9,768;0,818;0,809;0,944;0,010;0,000;12,493
50000000;1000;26,490;25,057;57,666;6,094;37,141;1,570;1,561;2,410;0,028;0,001;24,920
