ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;10000;0,075;0,041;23,313;0,297;0,088;0,062;0,019;1,982;0,045;0,002;0,013
2500;10000;0,065;0,042;0,392;0,029;0,001;0,059;0,023;0,395;0,024;0,001;0,006
5000;10000;0,065;0,042;0,422;0,028;0,001;0,059;0,023;0,388;0,027;0,001;0,006
7500;10000;0,065;0,044;0,440;0,027;0,001;0,085;0,025;0,391;0,035;0,001;-0,020
10000;10000;0,066;0,045;0,357;0,028;0,001;0,071;0,026;0,384;0,028;0,001;-0,005
25000;10000;0,071;0,049;0,312;0,029;0,001;0,077;0,026;0,391;0,033;0,001;-0,006
50000;10000;0,078;0,055;0,351;0,030;0,001;0,069;0,025;0,550;0,028;0,001;0,009
75000;10000;0,085;0,062;0,398;0,030;0,001;0,069;0,027;1,059;0,030;0,001;0,015
100000;10000;0,091;0,068;0,360;0,031;0,001;0,073;0,025;0,514;0,029;0,001;0,018
250000;10000;0,133;0,107;0,414;0,037;0,001;0,074;0,028;0,427;0,030;0,001;0,059
500000;10000;0,198;0,172;0,525;0,034;0,001;0,075;0,028;0,570;0,029;0,001;0,123
750000;10000;0,261;0,236;0,699;0,031;0,001;0,086;0,029;0,426;0,033;0,001;0,175
1000000;10000;0,327;0,300;0,742;0,033;0,001;0,074;0,027;0,418;0,037;0,001;0,254
2500000;10000;0,725;0,683;1,089;0,056;0,003;0,090;0,049;0,350;0,029;0,001;0,635
5000000;10000;1,399;1,322;1,982;0,079;0,006;0,122;0,078;0,656;0,032;0,001;1,277
7500000;10000;2,032;1,960;2,774;0,087;0,008;0,145;0,101;0,506;0,033;0,001;1,887
10000000;10000;2,705;2,659;3,816;0,079;0,006;0,167;0,129;0,391;0,014;0,000;2,538
25000000;10000;6,536;6,499;8,290;0,105;0,011;0,302;0,278;0,625;0,013;0,000;6,234
50000000;10000;13,045;12,884;59,092;0,602;0,363;0,546;0,506;13,284;0,146;0,021;12,499
