ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;10000;0,210;0,043;24,708;0,744;0,553;0,016;0,010;0,386;0,008;0,000;0,193
2500;10000;0,197;0,047;25,625;0,604;0,365;0,018;0,011;0,192;0,007;0,000;0,179
5000;10000;0,183;0,051;37,501;0,686;0,471;0,020;0,014;0,176;0,006;0,000;0,163
7500;10000;0,312;0,049;14,190;0,565;0,319;0,024;0,015;0,343;0,009;0,000;0,288
10000;10000;0,464;0,054;13,358;0,605;0,366;0,027;0,018;0,324;0,010;0,000;0,437
25000;10000;0,374;0,066;14,863;0,682;0,465;0,045;0,029;0,338;0,016;0,000;0,329
50000;10000;0,542;0,096;13,775;0,572;0,327;0,072;0,046;0,466;0,021;0,000;0,469
75000;10000;0,466;0,098;14,895;0,625;0,390;0,090;0,062;0,714;0,030;0,001;0,376
100000;10000;0,450;0,125;15,602;0,583;0,340;0,109;0,079;0,507;0,029;0,001;0,341
250000;10000;0,614;0,245;20,924;0,597;0,356;0,286;0,179;1,304;0,096;0,009;0,328
500000;10000;0,814;0,417;11,331;0,561;0,315;0,539;0,284;2,379;0,236;0,056;0,275
750000;10000;1,029;0,602;29,236;0,740;0,548;0,679;0,392;3,050;0,256;0,066;0,349
1000000;10000;1,521;0,794;29,880;0,949;0,901;0,722;0,502;2,854;0,229;0,053;0,799
2500000;10000;2,800;1,932;10,255;1,029;1,060;1,452;1,166;7,501;0,356;0,127;1,347
5000000;10000;4,736;3,799;13,967;0,692;0,479;2,450;2,304;6,842;0,230;0,053;2,286
7500000;10000;6,174;5,680;11,131;0,377;0,142;3,516;3,380;6,062;0,174;0,030;2,658
10000000;10000;7,926;7,465;12,317;0,162;0,026;4,657;4,492;8,550;0,180;0,032;3,269
25000000;10000;20,809;18,880;124,439;2,848;8,110;12,287;11,083;93,309;2,467;6,085;8,522
50000000;10000;40,079;38,621;66,302;2,021;4,086;22,881;22,106;54,145;1,647;2,713;17,198
