ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference;AverageExecutionTimeCPU;Difference_CS_CPU;Difference_CS_CUDA;MaxExecutionTimeCPU;MinExecutionTimeCPU;StandardDeviationCPU;VarianceCPU
1000;10000;0,029;0,015;0,338;0,013;0,000;0,017;0,010;0,231;0,013;0,000;0,013;0,000;0,010;-0,009;0,000;0,000;0,000;0,000
2500;10000;0,028;0,014;0,664;0,013;0,000;0,020;0,011;0,424;0,014;0,000;0,008;0,000;0,010;-0,012;0,000;0,000;0,000;0,000
5000;10000;0,029;0,012;0,159;0,011;0,000;0,021;0,012;0,668;0,013;0,000;0,008;0,000;0,011;-0,013;0,000;0,000;0,000;0,000
7500;10000;0,032;0,019;0,456;0,015;0,000;0,027;0,014;0,638;0,021;0,000;0,006;0,000;0,012;-0,015;0,000;0,000;0,000;0,000
10000;10000;0,032;0,021;0,879;0,013;0,000;0,025;0,015;0,196;0,010;0,000;0,006;0,000;0,012;-0,018;0,000;0,000;0,000;0,000
25000;10000;0,034;0,023;0,421;0,013;0,000;0,045;0,024;0,684;0,023;0,001;-0,011;0,000;0,017;-0,029;0,000;0,000;0,000;0,000
50000;10000;0,045;0,031;0,325;0,010;0,000;0,066;0,042;0,601;0,023;0,001;-0,021;0,000;0,025;-0,053;0,000;0,000;0,000;0,000
75000;10000;0,054;0,040;0,464;0,014;0,000;0,099;0,061;1,397;0,048;0,002;-0,046;0,000;0,034;-0,074;0,000;0,000;0,000;0,000
100000;10000;0,066;0,043;0,829;0,022;0,000;0,126;0,078;0,682;0,063;0,004;-0,060;0,000;0,038;-0,097;0,000;0,000;0,000;0,000
250000;10000;0,134;0,094;0,838;0,026;0,001;0,264;0,179;2,034;0,100;0,010;-0,130;0,000;0,094;-0,255;0,000;0,000;0,000;0,000
500000;10000;0,220;0,171;1,054;0,043;0,002;0,483;0,285;2,836;0,236;0,056;-0,264;0,000;0,181;-0,479;0,000;0,000;0,000;0,000
750000;10000;0,308;0,235;0,822;0,021;0,000;0,508;0,391;2,281;0,137;0,019;-0,200;0,000;0,275;-0,668;0,000;0,000;0,000;0,000
1000000;10000;0,417;0,326;1,189;0,042;0,002;0,585;0,488;2,144;0,124;0,015;-0,167;0,000;0,378;-0,902;0,000;0,000;0,000;0,000
2500000;10000;0,957;0,862;1,636;0,053;0,003;1,357;1,154;47,217;0,573;0,328;-0,400;0,000;1,029;-0,956;0,000;0,000;0,000;0,000
5000000;10000;1,928;1,698;3,372;0,140;0,020;2,942;2,263;8,500;0,550;0,302;-1,014;0,000;2,001;-0,923;0,000;0,000;0,000;0,000
7500000;10000;2,975;2,717;5,182;0,136;0,019;3,583;3,319;5,987;0,241;0,058;-0,608;0,000;3,067;-0,780;0,000;0,000;0,000;0,000
10000000;10000;4,056;3,506;7,699;0,285;0,081;4,918;4,438;7,485;0,442;0,196;-0,861;0,000;3,997;-0,728;0,000;0,000;0,000;0,000
25000000;10000;10,817;9,965;16,312;0,371;0,138;11,524;10,802;20,250;0,511;0,261;-0,707;0,000;10,483;-0,858;0,000;0,000;0,000;0,000
50000000;10000;21,484;19,935;33,642;1,045;1,092;22,920;21,568;38,472;1,150;1,322;-1,436;0,000;20,901;-1,645;0,000;0,000;0,000;0,000
