ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference;AverageExecutionTimeCPU;Difference_CS_CPU;Difference_CS_CUDA;MaxExecutionTimeCPU;MinExecutionTimeCPU;StandardDeviationCPU;VarianceCPU
1000;10000;0,147;0,062;21,595;0,530;0,281;0,221;0,023;39,952;0,734;0,539;-0,075;0,005;0,149;0,054;0,020;0,004;0,001;0,000
2500;10000;0,143;0,068;19,647;0,241;0,058;0,265;0,023;16,189;0,224;0,050;-0,122;0,011;0,146;0,052;0,023;0,011;0,001;0,000
5000;10000;0,146;0,067;14,842;0,442;0,196;0,243;0,022;18,303;0,359;0,129;-0,098;0,022;0,140;0,052;0,035;0,022;0,002;0,000
7500;10000;0,146;0,066;14,418;0,281;0,079;0,242;0,031;18,244;0,406;0,165;-0,096;0,034;0,136;0,085;0,068;0,033;0,002;0,000
10000;10000;0,146;0,064;83,879;0,878;0,772;0,245;0,029;73,073;0,818;0,669;-0,099;0,045;0,129;0,086;0,069;0,044;0,003;0,000
25000;10000;0,178;0,075;18,610;0,431;0,186;0,249;0,030;19,009;0,586;0,344;-0,071;0,112;0,087;0,111;0,136;0,109;0,004;0,000
50000;10000;0,191;0,083;7,800;0,206;0,042;0,239;0,031;14,251;0,387;0,149;-0,048;0,223;0,000;0,135;0,492;0,218;0,008;0,000
75000;10000;0,230;0,091;16,618;0,338;0,114;0,238;0,029;16,523;0,378;0,143;-0,008;0,334;-0,067;0,177;0,578;0,327;0,006;0,000
100000;10000;0,279;0,103;16,440;0,255;0,065;0,256;0,030;10,819;0,234;0,055;0,023;0,445;-0,143;0,205;0,592;0,436;0,004;0,000
250000;10000;0,369;0,165;7,114;0,272;0,074;0,218;0,032;8,243;0,292;0,085;0,151;1,112;-0,650;0,373;1,270;1,090;0,006;0,000
500000;10000;0,501;0,257;8,511;0,227;0,051;0,159;0,033;15,181;0,211;0,045;0,342;2,227;-1,667;0,482;2,538;2,216;0,010;0,000
750000;10000;0,576;0,304;14,025;0,316;0,100;0,123;0,030;5,252;0,114;0,013;0,453;3,345;-2,630;0,642;3,752;3,323;0,014;0,000
1000000;10000;0,804;0,491;4,071;0,259;0,067;0,125;0,032;3,268;0,216;0,047;0,680;4,468;-3,604;0,798;5,846;4,442;0,022;0,000
2500000;10000;1,035;0,843;4,026;0,261;0,068;0,117;0,049;3,556;0,194;0,038;0,918;11,233;-9,405;1,521;11,772;11,191;0,024;0,001
5000000;10000;1,674;1,621;4,471;0,046;0,002;0,113;0,084;0,457;0,010;0,000;1,561;22,506;-18,691;3,266;23,361;22,451;0,033;0,001
7500000;10000;2,455;2,399;8,828;0,257;0,066;0,149;0,101;3,632;0,119;0,014;2,306;33,774;-27,998;4,983;41,291;33,713;0,090;0,008
10000000;10000;3,285;3,194;9,636;0,206;0,042;0,170;0,128;0,766;0,023;0,001;3,115;45,035;-38,607;6,001;48,935;44,954;0,060;0,004
25000000;10000;8,059;7,860;14,663;0,533;0,285;0,311;0,276;3,520;0,092;0,008;7,748;112,606;-99,400;12,878;121,754;112,453;0,124;0,015
50000000;10000;15,947;15,668;24,990;0,716;0,512;0,557;0,517;4,235;0,150;0,023;15,390;157,507;-141,757;15,214;0,000;0,000;0,000;0,000
