ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference;AverageExecutionTimeCPU;Difference_CS_CPU;Difference_CS_CUDA;MaxExecutionTimeCPU;MinExecutionTimeCPU;StandardDeviationCPU;VarianceCPU
1000;10000;0,075;0,041;23,313;0,297;0,088;0,062;0,019;1,982;0,045;0,002;0,013;0,005;0,079;-0,462;0,017;0,004;0,001;0,000
2500;10000;0,065;0,042;0,392;0,029;0,001;0,059;0,023;0,395;0,024;0,001;0,006;0,011;0,072;-0,459;0,024;0,011;0,001;0,000
5000;10000;0,065;0,042;0,422;0,028;0,001;0,059;0,023;0,388;0,027;0,001;0,006;0,023;0,068;-0,488;0,055;0,022;0,002;0,000
7500;10000;0,065;0,044;0,440;0,027;0,001;0,085;0,025;0,391;0,035;0,001;-0,020;0,034;0,055;-0,519;0,049;0,033;0,002;0,000
10000;10000;0,066;0,045;0,357;0,028;0,001;0,071;0,026;0,384;0,028;0,001;-0,005;0,045;0,047;-0,551;0,064;0,044;0,003;0,000
25000;10000;0,071;0,049;0,312;0,029;0,001;0,077;0,026;0,391;0,033;0,001;-0,006;0,112;0,004;-0,779;0,230;0,109;0,004;0,000
50000;10000;0,078;0,055;0,351;0,030;0,001;0,069;0,025;0,550;0,028;0,001;0,009;0,223;0,038;-0,461;0,376;0,218;0,003;0,000
75000;10000;0,085;0,062;0,398;0,030;0,001;0,069;0,027;1,059;0,030;0,001;0,015;0,334;0,192;0,042;0,514;0,327;0,004;0,000
100000;10000;0,091;0,068;0,360;0,031;0,001;0,073;0,025;0,514;0,029;0,001;0,018;0,445;0,238;0,533;0,692;0,436;0,004;0,000
250000;10000;0,133;0,107;0,414;0,037;0,001;0,074;0,028;0,427;0,030;0,001;0,059;1,113;-0,088;0,949;1,287;1,091;0,007;0,000
500000;10000;0,198;0,172;0,525;0,034;0,001;0,075;0,028;0,570;0,029;0,001;0,123;2,233;-1,835;0,340;2,598;2,219;0,010;0,000
750000;10000;0,261;0,236;0,699;0,031;0,001;0,086;0,029;0,426;0,033;0,001;0,175;3,354;-2,755;0,521;5,634;3,336;0,029;0,001
1000000;10000;0,327;0,300;0,742;0,033;0,001;0,074;0,027;0,418;0,037;0,001;0,254;4,476;-3,847;0,579;4,959;4,454;0,016;0,000
2500000;10000;0,725;0,683;1,089;0,056;0,003;0,090;0,049;0,350;0,029;0,001;0,635;11,245;-9,698;1,234;12,022;11,208;0,021;0,000
5000000;10000;1,399;1,322;1,982;0,079;0,006;0,122;0,078;0,656;0,032;0,001;1,277;22,513;-18,969;2,993;26,191;22,426;0,050;0,002
7500000;10000;2,032;1,960;2,774;0,087;0,008;0,145;0,101;0,506;0,033;0,001;1,887;19,718;-17,746;1,835;0,000;0,000;0,000;0,000
10000000;10000;2,705;2,659;3,816;0,079;0,006;0,167;0,129;0,391;0,014;0,000;2,538;26,415;-23,773;2,472;0,000;0,000;0,000;0,000
25000000;10000;6,536;6,499;8,290;0,105;0,011;0,302;0,278;0,625;0,013;0,000;6,234;64,150;-57,735;6,113;0,000;0,000;0,000;0,000
50000000;10000;13,045;12,884;59,092;0,602;0,363;0,546;0,506;13,284;0,146;0,021;12,499;127,134;-114,420;12,173;0,000;0,000;0,000;0,000
