ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference;AverageExecutionTimeCPU;Difference_CS_CPU;Difference_CS_CUDA;MaxExecutionTimeCPU;MinExecutionTimeCPU;StandardDeviationCPU;VarianceCPU
1000;10000;0,243;0,047;5,146;0,471;0,222;0,148;0,028;4,840;0,300;0,090;0,095;0,002;0,069;-0,469;0,009;0,002;0,001;0,000
2500;10000;0,106;0,058;2,799;0,170;0,029;0,098;0,029;1,229;0,102;0,010;0,007;0,004;0,069;-0,450;0,052;0,004;0,001;0,000
5000;10000;0,242;0,048;5,628;0,466;0,217;0,145;0,025;12,497;0,311;0,097;0,097;0,008;0,076;-0,436;0,046;0,007;0,001;0,000
7500;10000;0,086;0,050;4,102;0,089;0,008;0,065;0,021;2,038;0,090;0,008;0,021;0,011;0,076;-0,430;0,030;0,011;0,002;0,000
10000;10000;0,077;0,053;5,805;0,078;0,006;0,076;0,022;9,191;0,143;0,021;0,001;0,015;0,069;-0,449;0,028;0,014;0,002;0,000
25000;10000;0,119;0,060;5,714;0,224;0,050;0,083;0,021;11,898;0,208;0,043;0,036;0,037;0,061;-0,457;0,078;0,036;0,003;0,000
50000;10000;0,104;0,081;1,383;0,039;0,002;0,091;0,023;1,855;0,098;0,010;0,013;0,076;0,063;-0,625;0,153;0,072;0,004;0,000
75000;10000;0,146;0,093;21,888;0,268;0,072;0,132;0,024;6,155;0,276;0,076;0,014;0,114;0,061;-0,750;0,263;0,109;0,005;0,000
100000;10000;0,153;0,117;3,086;0,102;0,010;0,088;0,025;2,402;0,105;0,011;0,065;0,152;0,071;-0,502;0,273;0,145;0,004;0,000
250000;10000;0,310;0,217;20,633;0,298;0,089;0,142;0,029;8,096;0,155;0,024;0,168;0,384;0,281;0,541;1,457;0,372;0,014;0,000
500000;10000;0,421;0,340;2,709;0,133;0,018;0,119;0,040;2,022;0,078;0,006;0,302;0,776;-0,158;0,405;1,515;0,756;0,011;0,000
750000;10000;0,560;0,466;3,679;0,206;0,042;0,128;0,045;1,948;0,101;0,010;0,432;1,167;-0,479;0,478;2,107;1,139;0,013;0,000
1000000;10000;0,781;0,580;6,540;0,314;0,099;0,260;0,056;3,151;0,350;0,122;0,521;1,560;-0,659;0,740;3,286;1,539;0,027;0,001
2500000;10000;1,516;1,334;6,470;0,250;0,063;0,236;0,127;1,950;0,154;0,024;1,281;3,901;-2,434;1,259;6,703;3,870;0,097;0,009
5000000;10000;2,728;2,552;7,730;0,297;0,088;0,218;0,180;2,483;0,033;0,001;2,510;7,794;-4,997;2,491;11,687;7,749;0,083;0,007
7500000;10000;4,039;3,772;10,988;0,422;0,178;0,309;0,254;1,364;0,071;0,005;3,730;11,688;-7,561;3,693;14,180;11,633;0,064;0,004
10000000;10000;5,323;5,022;15,154;0,575;0,331;0,368;0,324;1,242;0,035;0,001;4,955;15,573;-10,099;4,951;23,392;15,512;0,104;0,011
25000000;10000;13,333;12,394;38,268;1,222;1,493;0,831;0,772;2,350;0,095;0,009;12,502;38,962;-25,424;12,268;45,174;38,838;0,135;0,018
50000000;10000;25,648;24,730;68,034;2,266;5,136;1,565;1,507;4,528;0,090;0,008;24,084;79,192;-52,163;24,416;87,892;78,532;0,275;0,076
