ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;3,953;0,524;15,885;2,140;4,580;0,423;0,227;2,080;0,140;0,020;3,530
2500;1000;4,806;2,264;9,402;2,026;4,106;0,456;0,263;2,630;0,127;0,016;4,350
5000;1000;4,107;2,225;14,752;2,183;4,765;0,387;0,199;1,018;0,102;0,010;3,719
7500;1000;3,765;0,600;14,734;2,336;5,457;0,384;0,204;7,286;0,247;0,061;3,382
10000;1000;4,650;2,273;10,351;2,106;4,436;0,440;0,258;4,073;0,154;0,024;4,210
25000;1000;4,615;2,294;9,872;2,093;4,379;0,439;0,212;0,895;0,114;0,013;4,176
50000;1000;4,467;2,328;8,634;2,061;4,246;0,431;0,241;3,728;0,161;0,026;4,036
75000;1000;4,428;2,358;8,218;2,095;4,387;0,448;0,210;1,098;0,137;0,019;3,980
100000;1000;4,412;2,351;9,062;2,105;4,431;0,452;0,242;1,543;0,150;0,022;3,959
250000;1000;3,974;2,404;12,667;1,953;3,816;0,454;0,313;1,653;0,150;0,023;3,520
500000;1000;3,191;0,467;15,501;2,531;6,404;0,459;0,218;1,559;0,202;0,041;2,732
750000;1000;3,896;0,287;50,444;2,536;6,434;0,595;0,182;5,613;0,287;0,083;3,301
1000000;1000;1,933;0,293;33,769;5,099;26,004;0,318;0,153;0,880;0,115;0,013;1,615
2500000;1000;0,805;0,347;7,405;0,254;0,065;0,393;0,244;4,299;0,189;0,036;0,412
5000000;1000;0,960;0,401;33,931;1,417;2,007;0,491;0,325;6,915;0,246;0,060;0,469
7500000;1000;1,077;0,565;17,840;0,632;0,400;0,491;0,401;12,782;0,402;0,161;0,586
10000000;1000;2,732;0,627;51,147;1,935;3,744;0,925;0,447;41,057;1,379;1,901;1,807
