ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;15,262;1,355;19,888;0,665;0,443;0,606;0,138;3,873;0,747;0,557;14,656
2500;1000;15,337;14,147;16,378;0,335;0,112;0,605;0,142;3,825;0,637;0,406;14,733
5000;1000;15,322;13,626;16,366;0,357;0,128;0,591;0,143;3,827;0,734;0,539;14,731
7500;1000;15,320;13,808;16,335;0,335;0,112;0,588;0,143;3,588;0,708;0,501;14,732
10000;1000;15,284;13,988;16,510;0,347;0,120;0,588;0,143;3,688;0,657;0,432;14,695
25000;1000;15,248;14,062;16,163;0,323;0,104;0,690;0,145;3,784;0,750;0,563;14,558
50000;1000;15,281;12,995;16,432;0,343;0,118;0,737;0,144;3,794;0,801;0,642;14,544
75000;1000;15,786;3,634;120,968;6,437;41,433;0,633;0,145;3,831;0,743;0,552;15,152
100000;1000;15,240;12,588;16,141;0,329;0,108;0,679;0,145;3,791;0,751;0,565;14,561
250000;1000;15,181;9,327;19,491;0,478;0,228;0,784;0,134;1,970;0,613;0,376;14,397
500000;1000;15,132;3,914;21,975;0,732;0,535;0,845;0,154;8,802;0,760;0,578;14,287
750000;1000;15,238;1,387;21,363;0,784;0,615;0,485;0,146;8,670;0,361;0,130;14,753
1000000;1000;15,320;2,671;29,425;0,842;0,709;0,560;0,153;9,357;0,373;0,139;14,760
2500000;1000;15,281;3,268;64,452;1,699;2,886;0,572;0,230;7,351;0,546;0,299;14,709
5000000;1000;15,426;5,373;126,986;3,596;12,929;0,527;0,306;14,227;0,598;0,358;14,900
7500000;1000;15,597;7,338;191,291;5,629;31,685;0,491;0,361;25,726;0,803;0,644;15,106
10000000;1000;15,630;7,745;246,282;7,339;53,860;0,575;0,435;27,987;0,946;0,894;15,055
