ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;10000;5,622;0,481;7,602;1,434;2,058;0,543;0,299;2,183;0,131;0,017;5,080
2500;10000;5,563;0,689;8,269;1,476;2,179;0,572;0,302;1,823;0,138;0,019;4,991
5000;10000;5,571;2,140;8,330;1,487;2,212;0,545;0,284;2,733;0,132;0,017;5,025
7500;10000;5,571;2,178;7,654;1,493;2,228;0,525;0,301;1,670;0,129;0,017;5,046
10000;10000;5,522;2,155;7,700;1,543;2,380;0,518;0,299;2,270;0,131;0,017;5,004
25000;10000;5,211;2,228;7,423;1,756;3,082;0,560;0,301;2,761;0,157;0,025;4,651
50000;10000;4,920;2,230;7,471;1,896;3,596;0,607;0,326;2,034;0,161;0,026;4,314
75000;10000;4,714;2,217;9,464;1,965;3,861;0,620;0,348;2,635;0,165;0,027;4,094
100000;10000;4,504;2,292;7,612;2,001;4,004;0,640;0,374;2,002;0,163;0,027;3,864
250000;10000;3,989;0,320;192,980;4,120;16,977;0,876;0,449;490,926;4,912;24,132;3,112
500000;10000;4,672;0,544;47,058;4,358;18,991;0,987;0,584;7,429;0,331;0,110;3,685
750000;10000;4,482;0,790;35,302;3,789;14,357;1,218;0,692;15,256;0,481;0,231;3,265
1000000;10000;4,412;0,922;40,494;4,161;17,314;1,422;0,800;9,380;0,499;0,249;2,990
2500000;10000;4,838;2,143;35,692;4,204;17,672;2,100;1,524;16,014;0,577;0,333;2,738
5000000;10000;5,693;4,024;37,852;3,824;14,626;3,025;2,704;19,881;0,452;0,205;2,668
7500000;10000;7,301;5,965;40,150;3,570;12,742;4,159;3,892;12,773;0,244;0,059;3,142
10000000;10000;9,370;7,999;42,113;3,616;13,079;5,378;5,092;15,063;0,267;0,071;3,991
