ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;10000;15,687;0,948;51,855;0,786;0,618;2,861;0,892;21,618;0,960;0,922;12,826
2500;10000;15,703;11,589;21,266;0,354;0,126;2,822;1,016;10,550;1,045;1,093;12,881
5000;10000;15,678;7,945;22,334;0,424;0,180;2,793;1,048;19,109;0,997;0,993;12,884
7500;10000;15,665;4,592;25,933;0,485;0,235;2,809;0,717;11,451;1,002;1,004;12,856
10000;10000;15,600;7,254;26,958;0,529;0,280;2,862;0,745;12,427;1,101;1,212;12,738
25000;10000;15,658;5,444;24,883;0,437;0,191;2,776;0,925;13,852;0,982;0,964;12,882
50000;10000;15,659;4,383;25,725;0,486;0,236;2,685;1,071;7,874;0,969;0,940;12,973
75000;10000;15,690;2,307;23,513;0,448;0,201;2,631;1,151;10,469;0,907;0,823;13,059
100000;10000;15,665;10,400;19,486;0,453;0,205;2,568;1,315;8,133;0,848;0,719;13,098
250000;10000;15,635;6,215;21,759;0,537;0,288;2,641;1,684;14,130;0,597;0,356;12,994
500000;10000;15,595;9,653;21,031;1,149;1,321;3,051;2,463;7,183;0,606;0,367;12,544
750000;10000;15,645;10,699;34,333;1,805;3,258;3,617;3,054;7,555;0,658;0,432;12,028
1000000;10000;16,393;13,912;36,448;2,284;5,218;4,396;3,784;7,551;0,678;0,460;11,998
2500000;10000;43,135;34,658;74,445;4,783;22,881;11,442;8,055;27,874;2,743;7,523;31,693
5000000;10000;95,588;58,117;216,280;13,929;194,010;25,201;13,888;319,830;8,985;80,737;70,386
7500000;10000;132,231;101,231;217,390;16,517;272,802;33,823;19,859;95,115;9,437;89,055;98,409
10000000;10000;166,692;130,889;582,241;20,214;408,593;41,070;25,350;440,859;13,405;179,706;125,622
